date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
10/15/2020,ARKF,"SQUARE INC - A",SQ,852234103,559896.00,105596385.60,12.09
10/15/2020,ARKF,"MERCADOLIBRE INC",MELI,58733R102,33932.00,42682723.48,4.89
10/15/2020,ARKF,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,361322.00,36880136.54,4.22
10/15/2020,ARKF,"PINTEREST INC- CLASS A",PINS,72352L106,827418.00,36116795.70,4.14
10/15/2020,ARKF,"LENDINGTREE INC","TREE UW",52603B107,102363.00,34747120.35,3.98
10/15/2020,ARKF,"SEA LTD-ADR",SE,81141R100,198136.00,33544424.80,3.84
10/15/2020,ARKF,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,462825.00,33300258.75,3.81
10/15/2020,ARKF,"ADYEN NV",ADYEN,BZ1HM42,16394.00,31555336.68,3.61
10/15/2020,ARKF,"ZILLOW GROUP INC - C",Z,98954M200,308547.00,31428597.42,3.60
10/15/2020,ARKF,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,100235.00,30016373.10,3.44
10/15/2020,ARKF,"PAYPAL HOLDINGS INC",PYPL,70450Y103,139590.00,28356312.60,3.25
10/15/2020,ARKF,"Z HOLDINGS CORP",4689,6084848,3648712.00,26505888.30,3.03
10/15/2020,ARKF,"MEITUAN DIANPING-CLASS B",3690,BGJW376,739015.00,25269382.13,2.89
10/15/2020,ARKF,"TWILIO INC - A",TWLO,90138F102,76159.00,24820218.10,2.84
10/15/2020,ARKF,"AMAZON.COM INC",AMZN,023135106,7391.00,24675962.15,2.83
10/15/2020,ARKF,"APPLE INC",AAPL,037833100,197059.00,23786991.89,2.72
10/15/2020,ARKF,"FACEBOOK INC-CLASS A",FB,30303M102,75210.00,20060011.20,2.30
10/15/2020,ARKF,"ZHONGAN ONLINE P&C INSURAN-H",6060,BYZQ099,3564585.00,18006787.41,2.06
10/15/2020,ARKF,"SPLUNK INC",SPLK,848637104,87058.00,17872136.82,2.05
10/15/2020,ARKF,"SNAP INC - A",SNAP,83304A106,601329.00,16873291.74,1.93
10/15/2020,ARKF,"DOCUSIGN INC",DOCU,256163106,69102.00,16615575.90,1.90
10/15/2020,ARKF,"INTUIT INC",INTU,461202103,45342.00,15505603.74,1.78
