date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
9/4/2020,ARKW,"TESLA INC",TSLA,88160R101,527204.00,220539977.28,9.53
9/4/2020,ARKW,"ROKU INC",ROKU,77543R102,892074.00,142651553.34,6.16
9/4/2020,ARKW,"SQUARE INC - A",SQ,852234103,948384.00,138833933.76,6.00
9/4/2020,ARKW,"HUYA INC-ADR",HUYA,44852D108,2687932.00,72708560.60,3.14
9/4/2020,ARKW,"FACEBOOK INC-CLASS A",FB,30303M102,250840.00,70919993.20,3.06
9/4/2020,ARKW,"2U INC",TWOU,90214J101,1911304.00,70297761.12,3.04
9/4/2020,ARKW,"ZILLOW GROUP INC - C",Z,98954M200,827771.00,69433431.48,3.00
9/4/2020,ARKW,"LENDINGTREE INC","TREE UW",52603B107,212292.00,64802133.00,2.80
9/4/2020,ARKW,"SEA LTD-ADR",SE,81141R100,439644.00,63374682.60,2.74
9/4/2020,ARKW,"XILINX INC",XLNX,983919101,621189.00,63137649.96,2.73
9/4/2020,ARKW,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,249690.00,61975554.90,2.68
9/4/2020,ARKW,"PINTEREST INC- CLASS A",PINS,72352L106,1737081.00,59720844.78,2.58
9/4/2020,ARKW,"SNAP INC - A",SNAP,83304A106,2641875.00,59283675.00,2.56
9/4/2020,ARKW,"PURE STORAGE INC - CLASS A",PSTG,74624M102,3740750.00,55063840.00,2.38
9/4/2020,ARKW,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,815437.00,54675050.85,2.36
9/4/2020,ARKW,"PAGERDUTY INC",PD,69553P100,2154096.00,54175514.40,2.34
9/4/2020,ARKW,"TELADOC HEALTH INC",TDOC,87918A105,261526.00,51857990.54,2.24
9/4/2020,ARKW,"AMAZON.COM INC",AMZN,023135106,14551.00,47940015.62,2.07
9/4/2020,ARKW,"SPLUNK INC",SPLK,848637104,224384.00,44908213.76,1.94
9/4/2020,ARKW,"GRAYSCALE BITCOIN TRUST BTC",GBTC,389637109,3628468.00,43577900.68,1.88
9/4/2020,ARKW,"SLACK TECHNOLOGIES INC- CL A",WORK,83088V102,1482515.00,43096711.05,1.86
9/4/2020,ARKW,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,150856.00,42449369.84,1.83
9/4/2020,ARKW,"VERACYTE INC",VCYT,92337F107,1329189.00,42175166.97,1.82
9/4/2020,ARKW,"NETFLIX INC",NFLX,64110L106,81625.00,42122581.25,1.82
9/4/2020,ARKW,"MERCADOLIBRE INC",MELI,58733R102,37633.00,40770839.54,1.76
9/4/2020,ARKW,"TWILIO INC - A",TWLO,90138F102,160202.00,37407167.00,1.62
9/4/2020,ARKW,"ALTERYX INC - CLASS A",AYX,02156B103,286529.00,31968040.53,1.38
9/4/2020,ARKW,"TRADE DESK INC/THE -CLASS A",TTD,88339J105,65466.00,28887527.16,1.25
9/4/2020,ARKW,"HUBSPOT INC",HUBS,443573100,99820.00,27960580.20,1.21
9/4/2020,ARKW,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,335833.00,26500582.03,1.15
9/4/2020,ARKW,"NINTENDO CO LTD-UNSPONS ADR",NTDOY,654445303,374025.00,26436087.00,1.14
9/4/2020,ARKW,"LENDINGCLUB CORP",LC,52603A208,4832608.00,25564496.32,1.10
9/4/2020,ARKW,"JD.COM INC-ADR",JD,47215P106,305612.00,24448960.00,1.06
9/4/2020,ARKW,"NVIDIA CORP",NVDA,67066G104,48489.00,24482096.10,1.06
9/4/2020,ARKW,"CROWDSTRIKE HOLDINGS INC - A",CRWD,22788C105,196188.00,24560775.72,1.06
9/4/2020,ARKW,"ADOBE INC",ADBE,00724F101,50050.00,24621597.00,1.06
9/4/2020,ARKW,"SALESFORCE.COM INC",CRM,79466L302,94983.00,24192170.10,1.05
9/4/2020,ARKW,"DOCUSIGN INC",DOCU,256163106,109946.00,23776921.96,1.03
9/4/2020,ARKW,"ATLASSIAN CORP PLC-CLASS A",TEAM,G06242104,135218.00,23736167.72,1.03
9/4/2020,ARKW,"APPLE INC",AAPL,037833100,195063.00,23594820.48,1.02
9/4/2020,ARKW,"ZSCALER INC",ZS,98980G102,176204.00,23671245.36,1.02
9/4/2020,ARKW,"SYNOPSYS INC",SNPS,871607107,112255.00,23459049.90,1.01
