date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
9/17/2020,ARKF,"SQUARE INC - A",SQ,852234103,449452.00,65458189.28,11.48
9/17/2020,ARKF,"ZILLOW GROUP INC - C",Z,98954M200,259380.00,25017201.00,4.39
9/17/2020,ARKF,"MERCADOLIBRE INC",MELI,58733R102,24968.00,24472385.20,4.29
9/17/2020,ARKF,"LENDINGTREE INC","TREE UW",52603B107,75310.00,23777626.30,4.17
9/17/2020,ARKF,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,354169.00,23608905.54,4.14
9/17/2020,ARKF,"SEA LTD-ADR",SE,81141R100,154847.00,23084590.76,4.05
9/17/2020,ARKF,"PINTEREST INC- CLASS A",PINS,72352L106,608826.00,22276943.34,3.91
9/17/2020,ARKF,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,222778.00,22268888.88,3.90
9/17/2020,ARKF,"ADYEN NV",ADYEN,BZ1HM42,12074.00,20631734.37,3.62
9/17/2020,ARKF,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,73771.00,20340140.12,3.57
9/17/2020,ARKF,"Z HOLDINGS CORP",4689,6084848,3067393.00,19778289.87,3.47
9/17/2020,ARKF,"MEITUAN DIANPING-CLASS B",3690,BGJW376,544615.00,16921605.93,2.97
9/17/2020,ARKF,"AMAZON.COM INC",AMZN,023135106,5447.00,16388552.31,2.87
9/17/2020,ARKF,"APPLE INC",AAPL,037833100,145003.00,15999631.02,2.80
9/17/2020,ARKF,"PAYPAL HOLDINGS INC",PYPL,70450Y103,87060.00,15304277.40,2.68
9/17/2020,ARKF,"ZHONGAN ONLINE P&C INSURAN-H",6060,BYZQ099,2624585.00,14782244.66,2.59
9/17/2020,ARKF,"SNAP INC - A",SNAP,83304A106,537058.00,13050509.40,2.29
9/17/2020,ARKF,"TWILIO INC - A",TWLO,90138F102,56033.00,12432041.71,2.18
9/17/2020,ARKF,"FACEBOOK INC-CLASS A",FB,30303M102,46875.00,11944687.50,2.09
9/17/2020,ARKF,"SPLUNK INC",SPLK,848637104,64054.00,11381114.72,2.00
9/17/2020,ARKF,"DOCUSIGN INC",DOCU,256163106,50850.00,9833881.50,1.72
9/17/2020,ARKF,"SBI HOLDINGS INC",8473,6309466,365105.00,9294596.41,1.63
9/17/2020,ARKF,"WORKDAY INC-CLASS A",WDAY,98138H101,42159.00,8566287.21,1.50
9/17/2020,ARKF,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,94448.00,7736235.68,1.36
9/17/2020,ARKF,"SALESFORCE.COM INC",CRM,79466L302,31456.00,7691935.68,1.35
9/17/2020,ARKF,"LENDINGCLUB CORP",LC,52603A208,1454196.00,7445483.52,1.31
9/17/2020,ARKF,"INTUIT INC",INTU,461202103,22693.00,6971970.39,1.22
9/17/2020,ARKF,"GUIDEWIRE SOFTWARE INC",GWRE,40171V100,65918.00,6985989.64,1.22
9/17/2020,ARKF,"DISCOVERY LTD",DSY,6177878,865522.00,6962694.17,1.22
9/17/2020,ARKF,"SLACK TECHNOLOGIES INC- CL A",WORK,83088V102,265978.00,6729243.40,1.18
9/17/2020,ARKF,"INTERACTIVE BROKERS GRO-CL A",IBKR,45841N107,140507.00,6700778.83,1.17
9/17/2020,ARKF,"SCHWAB (CHARLES) CORP",SCHW,808513105,181460.00,6498082.60,1.14
9/17/2020,ARKF,"NVIDIA CORP",NVDA,67066G104,12933.00,6447617.82,1.13
9/17/2020,ARKF,TRANSUNION,TRU,89400J107,71373.00,6250847.34,1.10
9/17/2020,ARKF,"HDFC BANK LTD-ADR",HDB,40415F101,122490.00,6152672.70,1.08
9/17/2020,ARKF,"YEAHKA LTD",9923,BL58D39,955200.00,6100915.48,1.07
9/17/2020,ARKF,"TCS GROUP HOLDING -REG S",,87238U203,214198.00,5676247.00,1.00
9/17/2020,ARKF,"PINDUODUO INC-ADR",PDD,722304102,69176.00,5604639.52,0.98
9/17/2020,ARKF,"JD.COM INC-ADR",JD,47215P106,73946.00,5499364.02,0.96
9/17/2020,ARKF,"ZSCALER INC",ZS,98980G102,42727.00,5435301.67,0.95
9/17/2020,ARKF,"VERISK ANALYTICS INC",VRSK,92345Y106,28914.00,5343018.06,0.94
9/17/2020,ARKF,"SILVERGATE CAPITAL CORP-CL A",SI,82837P408,188865.00,3018062.70,0.53
9/17/2020,ARKF,"LIGHTSPEED POS INC-SUB VOTE",LSPD,BGHVW01,95501.00,2921010.59,0.51
