date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
11/19/2020,ARKG,"CRISPR THERAPEUTICS AG",CRSP,H17182108,2843787.00,310655291.88,8.79
11/19/2020,ARKG,"INVITAE CORP",NVTA,46185L103,6276325.00,293543720.25,8.30
11/19/2020,ARKG,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,16969726.00,260485294.10,7.37
11/19/2020,ARKG,"TWIST BIOSCIENCE CORP",TWST,90184D100,1861061.00,213091484.50,6.03
11/19/2020,ARKG,"ARCTURUS THERAPEUTICS HOLDIN","ARCT UQ",03969T109,3486942.00,206984877.12,5.85
11/19/2020,ARKG,"TELADOC HEALTH INC",TDOC,87918A105,767692.00,146775033.48,4.15
11/19/2020,ARKG,"CAREDX INC",CDNA,14167L103,2451174.00,145232059.50,4.11
11/19/2020,ARKG,"PERSONALIS INC",PSNL,71535D106,4380527.00,127911388.40,3.62
11/19/2020,ARKG,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,3258746.00,119237516.14,3.37
11/19/2020,ARKG,"SERES THERAPEUTICS INC",MCRB,81750R102,3567728.00,114345682.40,3.23
11/19/2020,ARKG,"EXACT SCIENCES CORP",EXAS,30063P105,957205.00,108336461.90,3.06
11/19/2020,ARKG,"CELLECTIS - ADR",CLLS,15117K103,4863487.00,107483062.70,3.04
11/19/2020,ARKG,"VERACYTE INC",VCYT,92337F107,1982147.00,96788238.01,2.74
11/19/2020,ARKG,"FATE THERAPEUTICS INC",FATE,31189P102,1898380.00,94368469.80,2.67
11/19/2020,ARKG,"PURE STORAGE INC - CLASS A",PSTG,74624M102,4940156.00,92627925.00,2.62
11/19/2020,ARKG,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,2409636.00,77734857.36,2.20
11/19/2020,ARKG,"INCYTE CORP",INCY,45337C102,936767.00,76524496.23,2.16
11/19/2020,ARKG,"COMPUGEN LTD",CGEN,M25722105,5745076.00,74168931.16,2.10
11/19/2020,ARKG,"ACCOLADE INC",ACCD,00437E102,1352270.00,62332885.65,1.76
11/19/2020,ARKG,"BERKELEY LIGHTS INC",BLI,084310101,758683.00,61931293.29,1.75
11/19/2020,ARKG,"EDITAS MEDICINE INC",EDIT,28106W103,2026424.00,56800664.72,1.61
11/19/2020,ARKG,"IONIS PHARMACEUTICALS INC",IONS,462222100,1050516.00,52998532.20,1.50
11/19/2020,ARKG,"CERUS CORP",CERS,157085101,8188288.00,51013034.24,1.44
11/19/2020,ARKG,"VERTEX PHARMACEUTICALS INC",VRTX,92532F100,232734.00,49332625.98,1.40
11/19/2020,ARKG,"10X GENOMICS INC-CLASS A",TXG,88025U109,304580.00,41961986.60,1.19
11/19/2020,ARKG,"ADAPTIVE BIOTECHNOLOGIES",ADPT,00650F109,882598.00,40167034.98,1.14
11/19/2020,ARKG,"SCHRODINGER INC",SDGR,80810D103,681765.00,39930976.05,1.13
11/19/2020,ARKG,"TAKEDA PHARMACEUTIC-SP ADR","TAK UN",874060205,2181570.00,38068396.50,1.08
11/19/2020,ARKG,"NOVARTIS AG-SPONSORED ADR",NVS,66987V109,398589.00,34756960.80,0.98
11/19/2020,ARKG,"GUARDANT HEALTH INC",GH,40131M109,308480.00,33473164.80,0.95
11/19/2020,ARKG,"CASTLE BIOSCIENCES INC",CSTL,14843C105,722243.00,33403738.75,0.94
11/19/2020,ARKG,"CODEXIS INC",CDXS,192005106,1861951.00,30647713.46,0.87
11/19/2020,ARKG,"PHREESIA INC",PHR,71944F106,751781.00,30680182.61,0.87
11/19/2020,ARKG,"SYROS PHARMACEUTICALS INC",SYRS,87184Q107,3520256.00,27704414.72,0.78
11/19/2020,ARKG,"NANOSTRING TECHNOLOGIES INC",NSTG,63009R109,582328.00,27590700.64,0.78
11/19/2020,ARKG,"BEAM THERAPEUTICS INC",BEAM,07373V105,566484.00,22387447.68,0.63
11/19/2020,ARKG,"AQUABOUNTY TECHNOLOGIES",AQB,03842K200,5093532.00,19661033.52,0.56
11/19/2020,ARKG,"PLURISTEM THERAPEUTICS INC",PSTI,72940R300,2175430.00,19948693.10,0.56
11/19/2020,ARKG,"ILLUMINA INC",ILMN,452327109,62551.00,18702749.00,0.53
11/19/2020,ARKG,"THERMO FISHER SCIENTIFIC INC",TMO,883556102,37460.00,16973126.00,0.48
11/19/2020,ARKG,"REGENERON PHARMACEUTICALS",REGN,75886F107,29608.00,15239533.68,0.43
11/19/2020,ARKG,"EVOGENE LTD",EVGN,M4119S104,4602387.00,12886683.60,0.36
11/19/2020,ARKG,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,12781261.05,12781261.05,0.36
11/19/2020,ARKG,"REPARE THERAPEUTICS INC",RPTX,760273102,343755.00,9559826.55,0.27
11/19/2020,ARKG,"SURFACE ONCOLOGY INC",SURF,86877M209,599177.00,4625646.44,0.13
11/19/2020,ARKG,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,375748.00,3344157.20,0.09
,,,,,,,
,,,,,,,
